#Angle Scan MOKE
#
#26.07.2002 , 14:54
#
#Notes
#
#Self Calib (Volt)	"VOLT:DC"
-1.700000E+0	1.898119E-1
-1.682915E+0	1.898147E-1
-1.665829E+0	1.898159E-1
-1.648744E+0	1.898204E-1
-1.631658E+0	1.898238E-1
-1.614573E+0	1.898238E-1
-1.597487E+0	1.898221E-1
-1.580402E+0	1.898244E-1
-1.563317E+0	1.898233E-1
-1.546231E+0	1.898187E-1
-1.529146E+0	1.898107E-1
-1.512060E+0	1.898125E-1
-1.494975E+0	1.898113E-1
-1.477889E+0	1.898187E-1
-1.460804E+0	1.898147E-1
-1.443719E+0	1.898107E-1
-1.426633E+0	1.898107E-1
-1.409548E+0	1.898125E-1
-1.392462E+0	1.898090E-1
-1.375377E+0	1.898130E-1
-1.358291E+0	1.898119E-1
-1.341206E+0	1.898073E-1
-1.324121E+0	1.898107E-1
-1.307035E+0	1.898181E-1
-1.289950E+0	1.898102E-1
-1.272864E+0	1.898107E-1
-1.255779E+0	1.898016E-1
-1.238693E+0	1.898067E-1
-1.221608E+0	1.898016E-1
-1.204523E+0	1.898107E-1
-1.187437E+0	1.898084E-1
-1.170352E+0	1.898061E-1
-1.153266E+0	1.898107E-1
-1.136181E+0	1.898107E-1
-1.119095E+0	1.898164E-1
-1.102010E+0	1.898204E-1
-1.084925E+0	1.898181E-1
-1.067839E+0	1.898176E-1
-1.050754E+0	1.898073E-1
-1.033668E+0	1.898061E-1
-1.016583E+0	1.898016E-1
-9.994975E-1	1.898039E-1
-9.824120E-1	1.898045E-1
-9.653266E-1	1.897976E-1
-9.482412E-1	1.897959E-1
-9.311558E-1	1.897988E-1
-9.140704E-1	1.897959E-1
-8.969849E-1	1.897982E-1
-8.798995E-1	1.898079E-1
-8.628141E-1	1.898028E-1
-8.457286E-1	1.898056E-1
-8.286432E-1	1.897953E-1
-8.115578E-1	1.897993E-1
-7.944723E-1	1.898061E-1
-7.773869E-1	1.898113E-1
-7.603015E-1	1.898022E-1
-7.432161E-1	1.898090E-1
-7.261307E-1	1.897982E-1
-7.090452E-1	1.898096E-1
-6.919598E-1	1.898170E-1
-6.748744E-1	1.898136E-1
-6.577889E-1	1.898113E-1
-6.407035E-1	1.898028E-1
-6.236181E-1	1.897999E-1
-6.065326E-1	1.898022E-1
-5.894472E-1	1.898067E-1
-5.723618E-1	1.898113E-1
-5.552764E-1	1.898010E-1
-5.381910E-1	1.898005E-1
-5.211055E-1	1.897999E-1
