#Angle Scan MOKE
#
#21.07.2002 , 17:19
#
#Notes
#
#Self Calib (Volt)	"VOLT:DC"
7.889447E-1	-1.301892E-2
7.989950E-1	-1.301863E-2
8.090452E-1	-1.301920E-2
8.190954E-1	-1.301920E-2
8.291457E-1	-1.301915E-2
8.391960E-1	-1.301880E-2
8.492462E-1	-1.301886E-2
8.592964E-1	-1.301949E-2
8.693467E-1	-1.301806E-2
8.793970E-1	-1.301801E-2
8.894472E-1	-1.301903E-2
8.994974E-1	-1.301892E-2
9.095477E-1	-1.301966E-2
9.195980E-1	-1.301932E-2
9.296482E-1	-1.301863E-2
9.396985E-1	-1.301915E-2
9.497487E-1	-1.301943E-2
9.597990E-1	-1.301960E-2
9.698492E-1	-1.301966E-2
9.798995E-1	-1.301943E-2
9.899497E-1	-1.301749E-2
1.000000E+0	-1.301858E-2
1.000000E+0	-1.301772E-2
9.899497E-1	-1.302000E-2
9.798995E-1	-1.301909E-2
9.698492E-1	-1.301909E-2
9.597990E-1	-1.301738E-2
9.497487E-1	-1.301983E-2
9.396985E-1	-1.301892E-2
9.296482E-1	-1.301943E-2
9.195980E-1	-1.302045E-2
9.095477E-1	-1.301983E-2
8.994974E-1	-1.302045E-2
8.894472E-1	-1.302023E-2
8.793970E-1	-1.301954E-2
8.693467E-1	-1.302068E-2
8.592964E-1	-1.301994E-2
8.492462E-1	-1.302068E-2
8.391960E-1	-1.302142E-2
8.291457E-1	-1.302119E-2
8.190954E-1	-1.302062E-2
8.090452E-1	-1.302006E-2
7.989950E-1	-1.302102E-2
7.889447E-1	-1.302125E-2
7.788944E-1	-1.302131E-2
7.688442E-1	-1.302154E-2
7.587940E-1	-1.302125E-2
7.487437E-1	-1.302245E-2
7.386934E-1	-1.302188E-2
7.286432E-1	-1.302199E-2
7.185929E-1	-1.302199E-2
7.085427E-1	-1.302108E-2
6.984924E-1	-1.302216E-2
6.884422E-1	-1.302176E-2
6.783919E-1	-1.302205E-2
6.683417E-1	-1.302142E-2
6.582914E-1	-1.302284E-2
6.482412E-1	-1.302153E-2
6.381909E-1	-1.302176E-2
6.281407E-1	-1.302381E-2
6.180905E-1	-1.302182E-2
6.080402E-1	-1.302222E-2
5.979899E-1	-1.302222E-2
5.879397E-1	-1.302313E-2
5.778894E-1	-1.302119E-2
5.678391E-1	-1.302284E-2
5.577889E-1	-1.302313E-2
5.477387E-1	-1.302353E-2
5.376884E-1	-1.302176E-2
5.276381E-1	-1.302404E-2
5.175879E-1	-1.302330E-2
5.075377E-1	-1.302421E-2
4.974874E-1	-1.302381E-2
4.874372E-1	-1.302364E-2
4.773869E-1	-1.302421E-2
4.673367E-1	-1.302336E-2
4.572864E-1	-1.302404E-2
4.472362E-1	-1.302484E-2
4.371859E-1	-1.302324E-2
4.271357E-1	-1.302444E-2
